year,temp,tempmax,yearmax,tempmin,yearmin
1950,12.1,14.1,2015,11.2,1956
1951,11.4
1952,12.0
1953,12.2
1954,11.4
1955,12.9
1956,11.2
1957,12.0
1958,11.8
1959,12.7
1960,11.9
1961,13.2
1962,12.1
1963,11.7
1964,12.4
1965,12.0
1966,12.4
1967,12.1
1968,12.5
1969,12.0
1970,11.8
1971,11.8
1972,11.3
1973,12.2
1974,11.3
1975,11.9
1976,12.2
1977,11.8
1978,12.2
1979,12.2
1980,12.1
1981,12.8
1982,12.5
1983,12.6
1984,12.3
1985,12.8
1986,11.9
1987,13.1
1988,12.8
1989,13.9
1990,13.4
1991,12.2
1992,12.4
1993,12.4
1994,12.8
1995,13.9
1996,13.0
1997,14.2
1998,13.4
1999,12.9
2000,12.8
2001,13.1
2002,13.3
2003,13.6
2004,13.2
2005,13.3
2006,13.7
2007,12.8
2008,12.5
2009,12.7
2010,12.5
2011,13.5
2012,12.6
2014,13.9
2015,14.1
2016,13.7
2017,13.8
2018,13.1
2019,13.0
2020,14.0
2021,13.2
2022,14.1
2023,14.1
2024,13.8
