fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
1989-01-01,Enero,1,-1.4,-1.4,1989,1997
1989-01-02,Enero,2,-1.6,-0.4,1989,2000
1997-01-03,Enero,3,-0.2,0.6,1997,1973
2019-01-04,Enero,4,-1.4,-1,2019,1985
1977-01-05,Enero,5,-1.8,-1.2,1977,1997
1985-01-06,Enero,6,-4.2,-1.6,1985,1997
1985-01-07,Enero,7,-6,-2.2,1985,1997
1985-01-08,Enero,8,-3,-1,1985,2010
1985-01-09,Enero,9,-5.4,-1.2,1985,2009
2010-01-10,Enero,10,-4,-0.8,2010,2003
2010-01-11,Enero,11,-2.4,-2,2010,1985
1985-01-12,Enero,12,-3,-0.5,1985,2003
2003-01-13,Enero,13,-3.2,-3,2003,1987
1987-01-14,Enero,14,-4,-3.6,1987,1980
1980-01-15,Enero,15,-3.4,-3.4,1980,1985
1980-01-16,Enero,16,-2.8,-1,1980,1985
1976-01-17,Enero,17,-0.4,0.2,1976,1980
1994-01-18,Enero,18,-1.2,-0.6,1994,1987
1994-01-19,Enero,19,-1.8,-0.4,1994,2017
2017-01-20,Enero,20,-2.3,-2.2,2017,1987
1987-01-21,Enero,21,-1.8,-1.2,1987,1983
1987-01-22,Enero,22,-2.2,0.4,1987,1992
1992-01-23,Enero,23,-1,-0.8,1992,1991
1992-01-24,Enero,24,-1,-0.6,1992,2007
1991-01-25,Enero,25,-1,-0.2,1991,1976
2000-01-26,Enero,26,-2.6,-1,2000,1976
1998-01-27,Enero,27,-0.8,-0.4,1998,2005
2007-01-28,Enero,28,-2,-1.6,2007,1991
2006-01-29,Enero,29,-3.7,-1.4,2006,2007
2006-01-30,Enero,30,0.1,0.2,2006,1986
2006-01-31,Enero,31,-0.7,0.2,2006,1986
1999-02-01,Febrero,1,-1.6,-0.2,1999,1992
1992-02-02,Febrero,2,-1,0,1992,2011
2012-02-03,Febrero,3,0.2,0.4,2012,1975
2012-02-04,Febrero,4,-1.6,0,2012,1973
1992-02-05,Febrero,5,-0.4,0,1992,1998
2018-02-06,Febrero,6,-0.6,-0.5,2018,2009
1973-02-07,Febrero,7,-0.3,-0.3,1973,2006
2006-02-08,Febrero,8,-0.5,-0.4,2006,1983
