fecha,maxima
1950-06-26,36
1950-06-29,37
1950-06-30,36.6
1950-07-09,36.5
1950-07-13,36.2
1950-07-15,36
1950-07-20,38.2
1950-07-21,39
1950-07-22,38.2
1950-07-23,36.5
1950-07-24,36
1950-07-26,36.5
1950-07-27,36.5
1950-07-28,37.5
1950-07-29,37
1950-07-30,37
1950-07-31,39
1950-08-01,38.5
1950-08-23,36
1951-07-20,38.5
1951-07-21,40
1951-07-27,37.7
1951-07-28,38.5
1951-08-19,36.5
1952-06-25,39.3
1952-07-07,37.4
1952-07-08,37.6
1952-07-09,36.6
1952-08-13,36.5
1952-08-14,36.5
1953-07-14,37.4
1953-07-17,38
1953-07-21,36
1953-07-22,37.4
1953-07-23,37.4
1953-07-26,38
1953-07-27,36.2
1953-08-02,36
1953-08-08,37.2
1953-08-09,36.5
1953-08-20,36
1954-06-27,36.4
1954-07-18,39.8
1954-07-24,36.6
1954-07-25,36.8
1954-07-26,38.2
1954-07-27,39.6
1954-07-28,38.2
1955-06-30,36
1955-07-03,37
1955-07-05,37.4
1955-07-13,36.8
1955-07-17,37.1
1955-07-18,37
1955-08-10,36.4
1955-08-11,36
1956-08-14,36
1956-08-15,36
1956-09-13,37
1957-07-27,36.6
1957-08-01,38.2
1957-08-02,38.3
1957-08-03,37.9
1957-08-05,38.5
1957-08-06,36.1
1958-07-28,39
1958-07-29,39.2
1958-07-30,37.6
1958-08-10,37
1958-08-16,36.8
1959-07-05,36.6
1959-07-06,37.2
1959-07-27,38.6
1959-07-28,38.6
1960-07-27,36
1960-08-23,36.2
1960-08-24,36.2
1961-07-10,36.6
1961-07-11,37.5
1962-08-13,36.5
1962-08-14,37.6
1962-08-19,37.8
1962-08-20,38
1962-08-27,36
1963-07-08,36.4
1963-08-23,36
1964-07-26,36.1
1964-09-02,36.8
1965-06-20,37
1965-06-25,36.5
1965-06-26,36
1965-06-28,36
1965-06-29,36
1965-07-24,36.6
1965-07-30,38.5
1965-07-31,38
1965-08-03,36
1965-08-04,36.2
1965-08-05,36.5
1965-08-06,37
1966-07-11,38.4
1966-07-12,39
1966-07-13,39
1966-08-03,36.7
1966-08-12,38.6
1966-08-13,38.2
1966-08-15,36.2
1967-07-10,36
1967-07-18,36.6
1967-07-19,39
1967-07-20,40
1967-07-21,40
1967-07-22,39.2
1967-07-23,37.3
1967-07-24,36.4
1967-07-25,36.5
1967-07-26,36.6
1967-08-01,36.6
1967-08-02,36.5
1967-08-16,36
1967-08-22,36
1968-07-01,37.2
1968-07-07,36.7
1968-07-08,36.4
1968-07-09,36.3
1968-07-10,37
1968-07-24,36
1968-07-27,38
1969-07-21,37
1969-07-22,37.5
1969-08-14,36.5
1970-07-01,37
1970-07-13,38
1970-07-21,37
1970-07-22,36
1970-07-23,36
1970-07-24,36.5
1970-07-25,37
1970-09-07,37.5
1971-07-30,38.2
1971-07-31,37.5
1971-08-16,36
1973-07-01,36.4
1973-07-02,36.8
1973-07-03,38
1973-07-04,40.2
1973-07-25,38.8
1973-07-28,36
1973-08-07,36.2
1973-08-09,36.6
1973-08-13,36.2
1973-08-14,36
1973-09-11,36.6
1974-07-12,36.2
1974-07-29,37.6
1974-08-06,36
1974-08-15,36.6
1975-07-02,36.4
1975-07-13,36.8
1975-07-14,39
1975-07-15,39.4
1975-07-16,40.8
1975-07-21,36
1975-07-29,36.6
1975-07-30,38.2
1975-07-31,37.8
1975-08-06,37.4
1975-08-07,37.4
1975-08-08,37
1976-07-30,36
1976-08-04,36
1976-08-05,38.6
1976-08-06,40
1976-08-07,37.8
1976-08-08,36.6
1977-07-20,37.2
1978-07-14,39.8
1978-07-15,41
1978-07-16,41.4
1978-07-17,42.6
1978-07-18,36.6
1978-07-25,36.2
1978-07-26,37.2
1978-07-27,36
1978-08-22,36.6
1979-07-09,37.6
1979-07-10,38.2
1979-07-17,37.4
1979-07-18,38
1979-07-26,36.4
1979-07-27,38.2
1979-07-28,40.2
1979-07-29,38.6
1979-07-30,39.4
1979-08-05,37.8
1979-08-06,36
1979-08-13,36
1979-08-14,37.6
1980-07-20,36.6
1980-07-23,39
1980-07-24,39.4
1980-08-02,37
1980-08-04,37.6
1980-08-05,38
1980-08-07,36.6
1980-08-08,36
1980-08-11,37.2
1980-08-12,36.2
1980-08-21,38.6
1980-08-22,37.2
1980-08-30,36
1981-06-11,36
1981-06-12,38.6
1981-06-13,38.4
1981-07-29,37.6
1981-07-30,38.4
1981-07-31,37
1982-07-01,38
1982-07-02,36
1982-07-05,36
1982-07-06,40
1982-07-07,41
1982-07-08,40.2
1982-07-09,36.6
1982-07-10,37.6
1982-08-18,37.6
1982-08-19,37.6
1983-06-06,36
1983-06-10,37
1983-06-11,38.6
1983-07-12,36.2
1983-07-13,36.4
1983-07-14,36.6
1983-07-15,36.4
1983-07-20,36.4
1983-07-29,36
1983-07-30,37.8
1984-07-08,37.4
1984-07-09,38
1984-07-10,38.6
1984-07-15,36.4
1984-07-19,36.4
1984-07-20,37.8
1984-07-21,37.6
1984-07-22,38
1984-07-23,40
1984-07-24,39.4
1984-07-25,37.4
1985-07-01,36
1985-07-23,36
1985-07-24,37.6
1985-08-04,38.2
1985-08-05,37.5
1985-08-22,36.4
1986-07-06,36.4
1986-07-07,36.8
1986-07-08,38.2
1986-07-09,36.8
1986-08-16,36.6
1986-08-21,37
1986-08-22,36.6
1987-08-04,37
1987-08-05,37.8
1987-08-12,38.4
1987-08-13,37.2
1987-08-15,37.4
1987-08-16,36.8
1987-08-20,37
1988-07-12,36
1988-07-26,36.4
1988-07-27,38
1988-07-29,37
1988-08-02,37.4
1988-08-28,36
1988-09-06,36
1988-09-07,37.6
1989-07-17,36
1989-07-18,36.6
1989-07-19,37
1989-07-20,38
1989-07-22,36.2
1989-07-31,37.6
1989-08-01,37.2
1989-08-02,36.8
1990-07-10,36
1990-07-20,36.6
1990-07-21,36
1990-07-25,36.2
1991-06-26,37.2
1991-06-27,37.2
1991-07-12,36
1991-07-13,38.2
1991-07-14,37
1991-07-15,36
1991-07-16,37.6
1991-07-17,38.8
1991-07-18,39
1991-07-19,37
1991-07-20,36
1991-07-24,37
1991-07-25,36
1991-07-28,37
